ISO,Date,Time,bpm,Sleep bpm,Sedentary bpm,Walking,Workout,Max-%,Type,Notes
2025-05-15T22:01:30-04:00,"Thursday, May 15",10:01:30 PM,94,,,,1,50,high resting,
2025-05-15T22:01:35-04:00,"Thursday, May 15",10:01:35 PM,97,,,,1,51,warmup/health,
2025-05-15T22:01:36-04:00,"Thursday, May 15",10:01:36 PM,98,,,,1,52,warmup/health,
2025-05-15T22:01:44-04:00,"Thursday, May 15",10:01:44 PM,105,,,,1,55,warmup/health,
2025-05-15T22:01:48-04:00,"Thursday, May 15",10:01:48 PM,104,,,,1,55,warmup/health,
2025-05-15T22:01:53-04:00,"Thursday, May 15",10:01:53 PM,104,,,,1,55,warmup/health,
2025-05-15T22:02:00-04:00,"Thursday, May 15",10:02:00 PM,100,,,,1,53,warmup/health,
2025-05-15T22:02:05-04:00,"Thursday, May 15",10:02:05 PM,95,,,,1,50,warmup/health,
2025-05-15T22:02:06-04:00,"Thursday, May 15",10:02:06 PM,95,,,,1,50,warmup/health,
2025-05-15T22:02:12-04:00,"Thursday, May 15",10:02:12 PM,93,,,,1,49,high resting,
2025-05-15T22:02:20-04:00,"Thursday, May 15",10:02:20 PM,94,,,,1,50,high resting,
2025-05-15T22:02:25-04:00,"Thursday, May 15",10:02:25 PM,97,,,,1,51,warmup/health,
2025-05-15T22:02:26-04:00,"Thursday, May 15",10:02:26 PM,97,,,,1,51,warmup/health,
2025-05-15T22:02:35-04:00,"Thursday, May 15",10:02:35 PM,98,,,,1,52,warmup/health,
2025-05-15T22:02:36-04:00,"Thursday, May 15",10:02:36 PM,98,,,,1,52,warmup/health,
2025-05-15T22:02:45-04:00,"Thursday, May 15",10:02:45 PM,99,,,,1,52,warmup/health,
2025-05-15T22:02:46-04:00,"Thursday, May 15",10:02:46 PM,99,,,,1,52,warmup/health,
2025-05-15T22:02:55-04:00,"Thursday, May 15",10:02:55 PM,96,,,,1,51,warmup/health,
2025-05-15T22:02:56-04:00,"Thursday, May 15",10:02:56 PM,95,,,,1,50,warmup/health,
2025-05-15T22:03:03-04:00,"Thursday, May 15",10:03:03 PM,100,,,,1,53,warmup/health,
2025-05-15T22:03:10-04:00,"Thursday, May 15",10:03:10 PM,103,,,,1,54,warmup/health,
2025-05-15T22:03:12-04:00,"Thursday, May 15",10:03:12 PM,104,,,,1,55,warmup/health,
2025-05-15T22:03:19-04:00,"Thursday, May 15",10:03:19 PM,103,,,,1,54,warmup/health,
2025-05-15T22:03:21-04:00,"Thursday, May 15",10:03:21 PM,103,,,,1,54,warmup/health,
2025-05-15T22:03:27-04:00,"Thursday, May 15",10:03:27 PM,102,,,,1,54,warmup/health,
2025-05-15T22:03:34-04:00,"Thursday, May 15",10:03:34 PM,100,,,,1,53,warmup/health,
2025-05-15T22:03:40-04:00,"Thursday, May 15",10:03:40 PM,99,,,,1,52,warmup/health,
2025-05-15T22:03:41-04:00,"Thursday, May 15",10:03:41 PM,100,,,,1,53,warmup/health,
2025-05-15T22:03:48-04:00,"Thursday, May 15",10:03:48 PM,102,,,,1,54,warmup/health,
2025-05-15T22:03:54-04:00,"Thursday, May 15",10:03:54 PM,98,,,,1,52,warmup/health,
2025-05-15T22:03:56-04:00,"Thursday, May 15",10:03:56 PM,97,,,,1,51,warmup/health,
2025-05-15T22:04:02-04:00,"Thursday, May 15",10:04:02 PM,105,,,,1,55,warmup/health,
2025-05-15T22:04:09-04:00,"Thursday, May 15",10:04:09 PM,101,,,,1,53,warmup/health,
2025-05-15T22:04:11-04:00,"Thursday, May 15",10:04:11 PM,103,,,,1,54,warmup/health,
2025-05-15T22:04:20-04:00,"Thursday, May 15",10:04:20 PM,96,,,,1,51,warmup/health,
2025-05-15T22:04:25-04:00,"Thursday, May 15",10:04:25 PM,95,,,,1,50,warmup/health,
2025-05-15T22:04:28-04:00,"Thursday, May 15",10:04:28 PM,95,,,,1,50,warmup/health,
2025-05-15T22:04:35-04:00,"Thursday, May 15",10:04:35 PM,97,,,,1,51,warmup/health,
2025-05-15T22:04:36-04:00,"Thursday, May 15",10:04:36 PM,97,,,,1,51,warmup/health,
2025-05-15T22:04:41-04:00,"Thursday, May 15",10:04:41 PM,101,,,,1,53,warmup/health,
2025-05-15T22:04:48-04:00,"Thursday, May 15",10:04:48 PM,94,,,,1,50,high resting,
2025-05-15T22:04:54-04:00,"Thursday, May 15",10:04:54 PM,95,,,,1,50,warmup/health,
2025-05-15T22:05:00-04:00,"Thursday, May 15",10:05:00 PM,95,,,,1,50,warmup/health,
2025-05-15T22:05:02-04:00,"Thursday, May 15",10:05:02 PM,95,,,,1,50,warmup/health,
2025-05-15T22:05:10-04:00,"Thursday, May 15",10:05:10 PM,94,,,,1,50,high resting,
2025-05-15T22:05:14-04:00,"Thursday, May 15",10:05:14 PM,96,,,,1,51,warmup/health,
2025-05-15T22:05:16-04:00,"Thursday, May 15",10:05:16 PM,97,,,,1,51,warmup/health,
2025-05-15T22:05:21-04:00,"Thursday, May 15",10:05:21 PM,98,,,,1,52,warmup/health,
2025-05-15T22:05:30-04:00,"Thursday, May 15",10:05:30 PM,101,,,,1,53,warmup/health,
