epoch,phase,loss,accuracy
1,train,0.5154,0.3679
   Anxious,train,acc,0.3876
   Excitement,train,acc,0.3497
   Sadness,train,acc,0.3665

1,val,0.4581,0.4359
   Anxious,val,acc,0.3019
   Excitement,val,acc,0.1916
   Sadness,val,acc,0.8142

2,train,0.4238,0.4975
   Anxious,train,acc,0.5031
   Excitement,train,acc,0.5342
   Sadness,train,acc,0.4553

2,val,0.2815,0.6701
   Anxious,val,acc,0.4528
   Excitement,val,acc,0.7707
   Sadness,val,acc,0.7866

3,train,0.2999,0.6685
   Anxious,train,acc,0.6832
   Excitement,train,acc,0.7248
   Sadness,train,acc,0.5975

3,val,0.2130,0.7862
   Anxious,val,acc,0.9390
   Excitement,val,acc,0.7054
   Sadness,val,acc,0.7141

4,train,0.2217,0.7321
   Anxious,train,acc,0.7745
   Excitement,train,acc,0.7652
   Sadness,train,acc,0.6565

4,val,0.1611,0.8007
   Anxious,val,acc,0.7446
   Excitement,val,acc,0.6880
   Sadness,val,acc,0.9695

5,train,0.1931,0.7598
   Anxious,train,acc,0.7932
   Excitement,train,acc,0.7752
   Sadness,train,acc,0.7112

5,val,0.0838,0.9013
   Anxious,val,acc,0.9289
   Excitement,val,acc,0.8534
   Sadness,val,acc,0.9216

6,train,0.1606,0.7965
   Anxious,train,acc,0.8186
   Excitement,train,acc,0.8087
   Sadness,train,acc,0.7621

6,val,0.1205,0.8645
   Anxious,val,acc,0.9855
   Excitement,val,acc,0.9869
   Sadness,val,acc,0.6212

7,train,0.1584,0.8004
   Anxious,train,acc,0.8441
   Excitement,train,acc,0.8193
   Sadness,train,acc,0.7379

7,val,0.0999,0.8873
   Anxious,val,acc,0.9840
   Excitement,val,acc,0.9942
   Sadness,val,acc,0.6836

8,train,0.1595,0.7996
   Anxious,train,acc,0.8354
   Excitement,train,acc,0.8286
   Sadness,train,acc,0.7348

8,val,0.0650,0.9115
   Anxious,val,acc,0.9855
   Excitement,val,acc,0.9869
   Sadness,val,acc,0.7620

9,train,0.1361,0.8240
   Anxious,train,acc,0.8677
   Excitement,train,acc,0.8534
   Sadness,train,acc,0.7509

9,val,0.0829,0.8926
   Anxious,val,acc,0.9521
   Excitement,val,acc,0.9985
   Sadness,val,acc,0.7271

10,train,0.1320,0.8286
   Anxious,train,acc,0.8640
   Excitement,train,acc,0.8509
   Sadness,train,acc,0.7708

10,val,0.1051,0.8795
   Anxious,val,acc,0.9985
   Excitement,val,acc,0.7678
   Sadness,val,acc,0.8723

11,train,0.1416,0.8153
   Anxious,train,acc,0.8596
   Excitement,train,acc,0.8236
   Sadness,train,acc,0.7627

11,val,0.0509,0.9386
   Anxious,val,acc,0.9187
   Excitement,val,acc,0.9521
   Sadness,val,acc,0.9448

12,train,0.1489,0.8170
   Anxious,train,acc,0.8534
   Excitement,train,acc,0.8143
   Sadness,train,acc,0.7832

12,val,0.1184,0.8210
   Anxious,val,acc,0.9144
   Excitement,val,acc,0.9985
   Sadness,val,acc,0.5501

13,train,0.1223,0.8445
   Anxious,train,acc,0.8720
   Excitement,train,acc,0.8547
   Sadness,train,acc,0.8068

13,val,0.0636,0.9269
   Anxious,val,acc,0.8491
   Excitement,val,acc,0.9753
   Sadness,val,acc,0.9565

14,train,0.1246,0.8327
   Anxious,train,acc,0.8696
   Excitement,train,acc,0.8298
   Sadness,train,acc,0.7988

14,val,0.0547,0.9211
   Anxious,val,acc,0.9303
   Excitement,val,acc,0.8447
