epoch,phase,loss,accuracy
1,train,0.8240,0.2790
   Angry,train,acc,0.2963
   Anxious,train,acc,0.3199
   Excitement,train,acc,0.2683
   Sadness,train,acc,0.2317

1,val,0.7183,0.3821
   Angry,val,acc,0.1640
   Anxious,val,acc,0.3266
   Excitement,val,acc,0.6313
   Sadness,val,acc,0.4064

2,train,0.6505,0.4207
   Angry,train,acc,0.3031
   Anxious,train,acc,0.4932
   Excitement,train,acc,0.5820
   Sadness,train,acc,0.3043

2,val,0.5928,0.5265
   Angry,val,acc,0.0363
   Anxious,val,acc,0.7489
   Excitement,val,acc,0.9347
   Sadness,val,acc,0.3861

3,train,0.4710,0.5413
   Angry,train,acc,0.3689
   Anxious,train,acc,0.6882
   Excitement,train,acc,0.7161
   Sadness,train,acc,0.3919

3,val,0.2755,0.6665
   Angry,val,acc,0.9158
   Anxious,val,acc,0.8999
   Excitement,val,acc,0.8462
   Sadness,val,acc,0.0044

4,train,0.4068,0.5705
   Angry,train,acc,0.4037
   Anxious,train,acc,0.7677
   Excitement,train,acc,0.7441
   Sadness,train,acc,0.3665

4,val,0.4256,0.5613
   Angry,val,acc,0.9550
   Anxious,val,acc,0.5602
   Excitement,val,acc,0.7213
   Sadness,val,acc,0.0087

5,train,0.3627,0.5927
   Angry,train,acc,0.3839
   Anxious,train,acc,0.8124
   Excitement,train,acc,0.7832
   Sadness,train,acc,0.3913

5,val,0.2856,0.6665
   Angry,val,acc,0.7199
   Anxious,val,acc,0.9971
   Excitement,val,acc,0.8868
   Sadness,val,acc,0.0624

6,train,0.3383,0.6012
   Angry,train,acc,0.3950
   Anxious,train,acc,0.8230
   Excitement,train,acc,0.7870
   Sadness,train,acc,0.4000

6,val,0.1890,0.7028
   Angry,val,acc,0.0435
   Anxious,val,acc,0.9536
   Excitement,val,acc,0.9478
   Sadness,val,acc,0.8665

7,train,0.3362,0.6090
   Angry,train,acc,0.4130
   Anxious,train,acc,0.8472
   Excitement,train,acc,0.7857
   Sadness,train,acc,0.3901

7,val,0.2895,0.6604
   Angry,val,acc,0.0000
   Anxious,val,acc,0.7576
   Excitement,val,acc,0.9448
   Sadness,val,acc,0.9390

8,train,0.3389,0.6070
   Angry,train,acc,0.4068
   Anxious,train,acc,0.8280
   Excitement,train,acc,0.7901
   Sadness,train,acc,0.4031

8,val,0.2394,0.6978
   Angry,val,acc,0.0000
   Anxious,val,acc,1.0000
   Excitement,val,acc,0.9724
   Sadness,val,acc,0.8186

9,train,0.3233,0.6104
   Angry,train,acc,0.3689
   Anxious,train,acc,0.8516
   Excitement,train,acc,0.8099
   Sadness,train,acc,0.4112

9,val,0.2614,0.6720
   Angry,val,acc,0.6996
   Anxious,val,acc,0.9666
   Excitement,val,acc,1.0000
   Sadness,val,acc,0.0218

10,train,0.3026,0.6328
   Angry,train,acc,0.4410
   Anxious,train,acc,0.8752
   Excitement,train,acc,0.8317
   Sadness,train,acc,0.3832

10,val,0.2513,0.6778
   Angry,val,acc,0.0087
   Anxious,val,acc,1.0000
   Excitement,val,acc,0.9884
   Sadness,val,acc,0.7141

11,train,0.3270,0.6160
   Angry,train,acc,0.3845
   Anxious,train,acc,0.8652
   Excitement,train,acc,0.8081
   Sadness,train,acc,0.4062

11,val,0.2933,0.6009
   Angry,val,acc,0.0798
   Anxious,val,acc,0.5036
   Excitement,val,acc,0.9405
   Sadness,val,acc,0.8795

